review,rating,date,bank,source,LemmatizedText
thank you,5,2025-07-30,CBE,Google Play,thank
they been freezing a transfered money till the time they chose chose it to be delivered bruh,1,2025-07-30,CBE,Google Play,freeze transfered money till time choose chose deliver bruh
how updated this app,5,2025-07-30,CBE,Google Play,update app
Time is Gold,5,2025-07-28,CBE,Google Play,time gold
this app is so amazing a use it every time when I make payments,5,2025-07-27,CBE,Google Play,app amazing use time payment
thanks CBE,5,2025-07-25,CBE,Google Play,thanks cbe
"I am using this service from abroad, which i have active account in Ethiopia. Anytime I want support family, I easily sent funds to my CBE bank using my abroad debit or visa credit and transfer to their bank. so recommend diaspora to open bank account whenever they going back home. it helps a lot . 1st. They can easily send money from their abroad bank account to their CEB, Awash,Oromia bank whatever. 2nd, They don't need family to withdraw money for them to use it. They have privacy.",5,2025-07-25,CBE,Google Play,service abroad active account ethiopia anytime want support family easily send fund cbe bank abroad debit visa credit transfer bank recommend diaspora open bank account go home helps lot st easily send money abroad bank account ceb awashoromia bank nd not need family withdraw money use privacy
commercial bank of ethiopia is very helpful for all Ethiopian people that i respect ethio consititution,5,2025-07-25,CBE,Google Play,commercial bank ethiopia helpful ethiopian people respect ethio consititution
Great,5,2025-07-24,CBE,Google Play,great
there is many thing u have to fix.,1,2025-07-24,CBE,Google Play,thing u fix
"This is the best service, it makes everything easy for you, so why not download this app and if you are satisfied with it, give it five stars, it deserves it. 👍♥️❤️",5,2025-07-24,CBE,Google Play,good service make easy download app satisfied star deserve
"good job, but we need to see more transaction history.",4,2025-07-21,CBE,Google Play,good job need transaction history
full of restrictions,1,2025-07-20,CBE,Google Play,restriction
The best one,5,2025-07-20,CBE,Google Play,well
why i cant screen shoot ?,1,2025-07-20,CBE,Google Play,not screen shoot
Really excellent,5,2025-07-19,CBE,Google Play,excellent
it is good up to now but it needs update today,5,2025-07-18,CBE,Google Play,good need update today
this app good,4,2025-07-17,CBE,Google Play,app good
"I like this App b/s it's fast, clear, and secured. thank you",5,2025-07-17,CBE,Google Play,like app bs fast clear secured thank
"Although the UI is simple and easy to use. That does not mean anything if information is not consistent throughout the app, and most services are down most of the time. Also, I see that forcing the user to turn off Android Dev Settings to use the app is unnecessary and creates inconvenience for users who want to use their devices for Android development 🙄. If you have certain security requirements, you would rather prefer to restrict the minSdk (since recent android releases are secure).",1,2025-07-16,CBE,Google Play,ui simple easy use mean information consistent app service time force user turn android dev setting use app unnecessary create inconvenience user want use device android development certain security requirement prefer restrict minsdk recent android release secure
difficult to transfer between accounts even settling tax obligations. system error notification more frequent.,1,2025-07-16,CBE,Google Play,difficult transfer account settle tax obligation system error notification frequent
ebc app not work or unable to connect server,1,2025-07-15,CBE,Google Play,ebc app work unable connect server
i love this app,5,2025-07-14,CBE,Google Play,love app
"excellent application, user friendly...nice one",5,2025-07-14,CBE,Google Play,excellent application user friendlynice
why can't I transfer money to telebirr?,4,2025-07-12,CBE,Google Play,not transfer money telebirr
CBE Mobile Banking make us our life easier.,5,2025-07-12,CBE,Google Play,cbe mobile banking life easy
"I can't see my old transaction on this bank app just like other banks mobile apps example abissinya, tele birr, so please update this feature.",1,2025-07-12,CBE,Google Play,not old transaction bank app like bank mobile app example abissinya tele birr update feature
"it's a nice app""and buy to pay then simple for money transaction 10Q CBE.",5,2025-07-11,CBE,Google Play,nice appand buy pay simple money transaction q cbe
"The CBE MB app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and USSD.",2,2025-07-11,CBE,Google Play,cbe mb app well update feature time timebut impossible download statement possible add statement download option app ussd
It is user friendly.,4,2025-07-11,CBE,Google Play,user friendly
Application አንዳንዴ ቀርፋፋ ነው። ለምን ?,3,2025-07-10,CBE,Google Play,application
option app mobile banking,5,2025-07-09,CBE,Google Play,option app mobile banking
very poor and even not sho the balance and transaction history,1,2025-07-07,CBE,Google Play,poor sho balance transaction history
Good app,5,2025-07-07,CBE,Google Play,good app
this is very good app but what is bucket override i don't get,4,2025-07-06,CBE,Google Play,good app bucket override not
The best of mobile banking in Ethiopia 🇪🇹,5,2025-07-06,CBE,Google Play,good mobile banking ethiopia
"it's just a basic app, you could do a lot better I couldn't see my 2 months statement even",1,2025-07-06,CBE,Google Play,basic app lot well not month statement
Samsung s05 have no government utility payment options Please fix on the next update,1,2025-07-05,CBE,Google Play,samsung government utility payment option fix update
"It is developed in a simple way, but what if you add a notebook, like to save some info or other bank account number",4,2025-07-04,CBE,Google Play,develop simple way add notebook like save info bank account number
it's good app.,5,2025-07-03,CBE,Google Play,good app
It is fast and best service. Go a head!,5,2025-07-02,CBE,Google Play,fast good service head
"This app is not reliable for transferring money to other banks or money transfer apps. It will take your money but not deliver it, and for confirmation, it takes three days to refund.",2,2025-07-02,CBE,Google Play,app reliable transferring money bank money transfer app money deliver confirmation take day refund
it is best app,5,2025-07-02,CBE,Google Play,good app
"The worst Bank, system and app ever in Ethiopia.",1,2025-07-02,CBE,Google Play,bad bank system app ethiopia
please update the security policy. we can't take a SCREENSHOTS!,3,2025-07-02,CBE,Google Play,update security policy not screenshot
"It's a great application, but if you could improve it a bit, for example, by making it so that we can register and use it ourselves from the comfort of our own homes without having to go to a bank branch.",3,2025-07-01,CBE,Google Play,great application improve bit example make register use comfort home bank branch
its very nice app,5,2025-07-01,CBE,Google Play,nice app
fast and easy to use,3,2025-07-01,CBE,Google Play,fast easy use
I really like this application it's easy to use and reliable,5,2025-07-01,CBE,Google Play,like application easy use reliable
best application but is not available strong security .,5,2025-07-01,CBE,Google Play,good application available strong security
very good thanks for services,1,2025-06-30,CBE,Google Play,good thank service
I like this app bcz of this is very simple and easy to use,5,2025-06-29,CBE,Google Play,like app bcz simple easy use
